col_1,col_2,col_3
graceful,8,1.000
gracefully,10,1.000
graceless,9,1.000
graces,6,1.000
gracias,7,0.769
Gracie,6,0.963
Gracie's,8,1.000
gracious,8,1.000
graciously,10,0.964
grad,4,0.929
gradation,9,0.583
gradations,10,0.600
grade,5,1.000
graded,6,1.000
grader,6,1.000
grades,6,1.000
gradient,8,0.963
gradients,9,0.923
grading,7,1.000
grads,5,0.964
gradual,7,0.963
gradualist,10,0.889
gradually,9,1.000
graduate,8,0.964
graduated,9,0.960
graduates,9,0.962
graduating,10,1.000
graduation,10,1.000
graffiti,8,0.963
graft,5,1.000
Graham,6,0.917
grail,5,1.000
grain,5,1.000
graining,8,1.000
grains,6,0.964
gram,4,1.000
grammar,7,1.000
grammarian,10,0.731
grammarians,11,0.652
grammatic,9,0.964
grammatical,11,0.963
grammatically,13,0.964
gramophone,10,0.840
grams,5,1.000
granary,7,0.760
grand,5,1.000
grandad,7,0.893
grandaunt,9,0.360
grandchild,10,1.000
grandchildren,13,1.000
granddaughter,13,1.000
grander,7,1.000
grandeur,8,0.815
grandfather,11,1.000
grandfathers,12,1.000
grandiloquent,13,0.500
grandiose,9,0.680
grandly,7,0.963
grandma,7,1.000
grandma's,9,1.000
grandmother,11,1.000
grandmothers,12,1.000
grandmother's,13,1.000
grandnephew,11,0.962
grandniece,10,0.875
grandpa,7,1.000
grandparent,11,1.000
grandparents,12,1.000
grands,6,0.963
grandson,8,1.000
grandsons,9,1.000
grandstand,10,1.000
granduncle,10,0.895
grange,6,0.889
granite,7,0.889
granite's,9,0.889
granny,6,1.000
granny's,8,1.000
grant,5,1.000
granted,7,1.000
granting,8,1.000
grants,6,1.000
Grant's,7,1.000
granular,8,1.000
granulate,9,0.963
granule,7,1.000
granules,8,0.923
grape,5,1.000
grapefruit,10,1.000
grapes,6,1.000
grapevine,9,0.897
grapevines,10,1.000
graph,5,1.000
graphed,7,1.000
graphic,7,0.966
graphical,9,1.000
graphically,11,1.000
graphite,8,1.000
graphs,6,1.000
grapple,7,0.963
grappled,8,1.000
grappling,9,0.966
grasp,5,1.000
grasped,7,0.929
grasping,8,1.000
grass,5,1.000
grassed,7,1.000
grasses,7,1.000
grassfire,9,0.964
grasshopper,11,0.963
grasshoppers,12,0.889
grassland,9,1.000
grasslands,10,1.000
grassroots,10,0.964
grassy,6,1.000
grate,5,0.962
grated,6,1.000
grateful,8,1.000
gratefully,10,1.000
grater,6,0.885
gratification,13,1.000
gratified,9,1.000
gratify,7,1.000
gratifying,10,1.000
gratifyingly,12,0.846
grating,7,1.000
gratingly,9,0.864
gratings,8,0.926
gratis,6,0.739
gratitude,9,1.000
gratuitous,10,0.741
gratuity,8,0.958
grave,5,1.000
gravel,6,1.000
gravely,7,0.962
graven,6,0.964
graver,6,1.000
graves,6,0.962
gravest,7,0.931
gravestone,10,0.962
graveyard,9,1.000
graveyards,10,1.000
gravitation,11,1.000
gravitational,13,0.963
gravity,7,1.000
gravy,5,0.964
gray,4,1.000
graybeard,9,0.964
graybeards,10,1.000
grayed,6,0.963
grayer,6,0.893
graying,7,0.929
graze,5,1.000
grazed,6,1.000
grazing,7,1.000
grease,6,1.000
greased,7,1.000
greasepaint,11,0.960
greaseproof,11,0.962
greaser,7,0.960
greases,7,0.958
greasy,6,1.000
great,5,0.926
greater,7,1.000
greatest,8,1.000
greatly,7,0.963
greatness,9,1.000
Grecian,7,0.667
Greece,6,1.000
Greece's,8,1.000
greed,5,1.000
greedily,8,0.964
greedy,6,1.000
Greek,5,1.000
Greeks,6,0.917
green,5,1.000
greenback,9,1.000
greenery,8,1.000
greenest,8,1.000
greengrocer,11,0.815
greenhorn,9,1.000
greenhouse,10,1.000
greenhouses,11,0.966
greening,8,1.000
greenish,8,1.000
Greenland,9,1.000
greenleaf,9,1.000
greenly,7,1.000
greenness,9,1.000
greenroom,9,1.000
greens,6,0.960
green's,7,0.958
Greenwich,9,0.964
greet,5,1.000
greeted,7,0.931
greeting,8,1.000
greetings,9,0.962
greets,6,0.926
Greg,4,1.000
gregarious,10,0.913
Gregorian,9,0.920
Gregory,7,1.000
Gregory's,9,1.000
Greg's,6,1.000
gremlin,7,1.000
Grenada,7,0.917
grenade,7,1.000
grenades,8,0.920
grenadier,9,0.400
grenadine,9,0.852
Gretchen,8,0.929
grew,4,0.964
grey,4,1.000
greybeard,9,0.964
greyhound,9,1.000
greying,7,0.963
grey's,6,1.000
grid,4,1.000
griddle,7,0.964
gridiron,8,0.789
grief,5,1.000
grievance,9,1.000
grievances,10,1.000
grieve,6,1.000
grieving,8,1.000
grievous,8,1.000
griffin,7,1.000
griffin's,9,1.000
griffon,7,0.852
grill,5,1.000
grille,6,0.923
grilled,7,0.964
grillework,10,0.885
grim,4,1.000
grimace,7,1.000
grimaced,8,0.929
grime,5,1.000
grimed,6,0.840
grimly,6,0.964
Grimm,5,1.000
grimmer,7,0.966
Grimm's,7,0.966
grimness,8,0.963
grimy,5,0.926
grin,4,1.000
grind,5,0.923
grinder,7,1.000
grinders,8,1.000
grinding,8,1.000
grindings,9,0.963
grinds,6,1.000
grindstone,10,0.929
gringo,6,0.929
grinned,7,1.000
grinning,8,1.000
grins,5,1.000
grip,4,1.000
gripe,5,0.964
gripes,6,0.926
gripped,7,0.963
gripping,8,1.000
grips,5,1.000
grisly,6,0.963
grist,5,0.808
gristle,7,0.893
gristly,7,0.929
gristmill,9,0.720
grit,4,1.000
grits,5,1.000
gritty,6,1.000
grizzled,8,0.963
grizzly,7,0.964
groan,5,1.000
groaned,7,0.964
groaning,8,1.000
groat,5,0.840
grocer,6,1.000
groceries,9,1.000
grocers,7,0.964
grocer's,8,1.000
grocery,7,1.000
groggy,6,1.000
groin,5,1.000
groom,5,1.000
groomed,7,1.000
grooming,8,1.000
grooms,6,1.000
groomsmen,9,1.000
groove,6,1.000
grooved,7,1.000
grooves,7,1.000
groovy,6,1.000
grope,5,0.893
groped,6,0.929
groping,7,0.963
gross,5,1.000
grossly,7,0.964
grotesque,9,1.000
grotesquely,11,0.920
grotesques,10,0.741
grotto,6,0.857
grottoes,8,0.565
grouch,6,0.964
grouchy,7,1.000
ground,6,1.000
grounded,8,1.000
grounder,8,0.964
groundhog,9,0.963
grounding,9,1.000
groundless,10,1.000
grounds,7,1.000
groundsman,10,0.923
groundwork,10,1.000
group,5,1.000
grouped,7,1.000
groupie,7,0.962
grouping,8,1.000
groupings,9,1.000
groups,6,1.000
group's,7,1.000
grouse,6,0.704
grove,5,0.846
grovel,6,0.897
grovelike,9,0.731
groveling,9,0.964
groves,6,0.880
grow,4,1.000
grower,6,1.000
growers,7,1.000
growing,7,0.964
growl,5,1.000
growled,7,1.000
growling,8,1.000
grown,5,0.926
grownups,8,1.000
grows,5,1.000
growth,6,1.000
growths,7,1.000
grub,4,0.963
grubby,6,0.964
grubs,5,1.000
grudge,6,0.964
grudges,7,1.000
grudgingly,10,0.880
gruel,5,1.000
gruesome,8,1.000
gruff,5,1.000
grumble,7,1.000
grumbled,8,0.964
grumbling,9,0.962
grumpy,6,1.000
grunt,5,1.000
grunted,7,1.000
grunting,8,1.000
Guam,4,0.929
guano,5,0.800
guarantee,9,1.000
guaranteed,10,1.000
guarantees,10,1.000
guaranty,8,0.870
guard,5,1.000
guarded,7,1.000
guardedness,11,0.926
guardhouse,10,0.926
guardian,8,1.000
guardians,9,0.962
guardianship,12,0.929
guarding,8,0.962
guardrail,9,0.962
guardroom,9,1.000
guards,6,0.962
guard's,7,1.000
guardsman,9,0.966
Guatemala,9,1.000
Guatemalan,10,0.864
guava,5,0.846
gubernatorial,13,0.700
guerilla,8,0.923
guerrilla,9,0.885
guerrillas,10,0.963
guess,5,1.000
guessed,7,0.962
guesses,7,1.000
guessing,8,1.000
guesstimate,11,0.960
guesswork,9,1.000
guest,5,1.000
guesthouse,10,1.000
guestroom,9,1.000
guests,6,1.000
guffaw,6,0.760
guffaws,7,0.444
Guggenheim,10,0.826
guidance,8,1.000
guide,5,1.000
guidebook,9,1.000
guided,6,1.000
guidelines,10,0.963
guideposts,10,0.962
guides,6,1.000
guide's,7,0.964
guiding,7,1.000
guild,5,1.000
guilder,7,0.852
guildhall,9,0.864
guile,5,0.962
guileless,9,0.714
guillotine,10,0.727
guilt,5,1.000
guiltiness,10,0.926
guiltless,9,0.963
guilty,6,1.000
Guinea,6,0.913
Guinness,8,1.000
guise,5,0.808
guises,6,0.821
guitar,6,1.000
guitarist,9,1.000
guitars,7,0.962
gulch,5,0.964
gulf,4,1.000
gulf's,6,1.000
gull,4,0.926
gulled,6,0.857
gullet,6,0.923
gullibility,11,0.962
gullible,8,0.962
gullies,7,0.963
gulling,7,0.926
Gulliver's,10,0.964
gully,5,1.000
gulp,4,1.000
gulped,6,1.000
gulps,5,1.000
gum,3,1.000
gumbo,5,0.962
gumdrop,7,0.963
gumming,7,0.964
gummy,5,0.964
gumption,8,0.833
gums,4,1.000
gumshoe,7,1.000
gun,3,1.000
gunbarrel,9,1.000
gunboat,7,1.000
gunfighter,10,1.000
gunfights,9,1.000
gunfire,7,1.000
gunflint,8,0.966
gunk,4,0.963
gunman,6,1.000
gunmen,6,1.000
gunmetal,8,0.926
gunner,6,1.000
gunners,7,1.000
gunnery,7,1.000
gunning,7,1.000
gunny,5,0.963
gunnysack,9,0.920
gunplay,7,0.929
gunpoint,8,1.000
gunpowder,9,1.000
gunroom,7,1.000
gunrunner,9,0.964
guns,4,0.964
gun's,5,1.000
gunshot,7,1.000
gunslinger,10,0.963
gunsmith,8,1.000
Gunther,7,1.000
gunwale,7,0.815
guppy,5,1.000
gurgle,6,0.926
guru,4,0.962
Gus,3,1.000
gush,4,1.000
gushed,6,1.000
gusher,6,0.964
gushy,5,0.926
gussets,7,0.615
gust,4,0.963
gustatory,9,0.696
gusto,5,0.963
gusts,5,0.929
gusty,5,1.000
gut,3,1.000
Guthrie,7,0.913
Guthrie's,9,0.857
gutless,7,1.000
guts,4,1.000
gutsy,5,0.926
gutted,6,0.964
gutter,6,1.000
guttered,8,0.929
gutters,7,1.000
guttersnipe,11,0.786
guttural,8,0.667
guy,3,1.000
Guyana,6,0.550
guys,4,1.000
guy's,5,1.000
guzzle,6,0.926
guzzled,7,1.000
guzzler,7,1.000
Gwen,4,1.000
gym,3,0.958
gymnasium,9,1.000
gymnast,7,0.962
gymnastic,9,1.000
gymnastics,10,0.885
gymnasts,8,1.000
gyms,4,1.000
gynecological,13,0.739
gynecologist,12,0.960
gynecologists,13,1.000
gyp,3,0.591
gypsies,7,0.964
gypsum,6,0.833
gypsy,5,0.960
gyrate,6,0.875
gyration,8,0.818
gyrations,9,0.826
gyro,4,0.840
gyros,5,0.778
gyroscope,9,0.840
gyroscopes,10,0.875
haberdasheries,14,0.909
haberdashery,12,0.824
habilitate,10,0.783
habit,5,0.962
habitable,9,0.913
habitants,9,0.920
habitat,7,1.000
habitation,10,0.893
habits,6,1.000
habitual,8,1.000
habituate,9,0.923
hacienda,8,0.737
hack,4,1.000
hacked,6,1.000
hackers,7,1.000
hacking,7,1.000
hackles,7,0.929
hackney,7,0.929
hacksaw,7,0.963
hackwork,8,0.964
had,3,1.000
haddock,7,0.808
Hades,5,0.923
hadn't,6,1.000
hag,3,1.000
haggard,7,0.929
haggardly,9,0.893
haggle,6,1.000
haggling,8,0.960
haha,4,0.931
haiku,5,0.889
hail,4,1.000
hailed,6,1.000
hails,5,1.000
hailstone,9,1.000
hailstorm,9,1.000
hair,4,1.000
hairbreadth,11,0.724
hairbrush,9,1.000
haircloth,9,1.000
haircut,7,1.000
haircuts,8,0.964
hairdo,6,1.000
hairdos,7,1.000
hairdresser,11,1.000
hairier,7,0.926
hairless,8,1.000
hairline,8,1.000
hairnet,7,1.000
hairpiece,9,1.000
hairpin,7,1.000
hairs,5,1.000
hairspring,10,0.964
hairstyle,9,1.000
hairstylist,11,1.000
hairy,5,1.000
Haiti,5,1.000
Haitian,7,0.857
Hal,3,0.852
hale,4,1.000
Hale's,6,0.852
half,4,0.962
halfback,8,1.000
halfbacks,9,1.000
halfhearted,11,1.000
halfpence,9,0.960
halfpenny,9,0.964
halftime,8,1.000
halftone,8,0.963
halfway,7,1.000
halfways,8,1.000
halibut,7,0.962
halitosis,9,0.818
hall,4,0.897
hallelujah,10,0.964
hallelujahs,11,0.875
hallmark,8,1.000
hallmarks,9,1.000
hallow,6,0.926
hallowed,8,0.889
Halloween,9,1.000
halls,5,1.000
hall's,6,1.000
hallucinate,11,1.000
hallucinating,13,1.000
hallucination,13,1.000
hallucinations,14,1.000
hallucinogenic,14,0.885
hallway,7,0.964
hallways,8,1.000
halo,4,0.750
halogens,8,0.964
halos,5,0.926
Hal's,5,0.964
halt,4,1.000
halted,6,1.000
halter,6,1.000
halting,7,1.000
haltingly,9,0.852
halts,5,1.000
halve,5,0.731
halves,6,0.889
ham,3,1.000
hamburger,9,1.000
hamburgers,10,1.000
Hamilton,8,0.963
Hamiltonian,11,0.667
Hamiltonians,12,0.882
Hamilton's,10,1.000
hamlet,6,1.000
hammer,6,1.000
hammered,8,1.000
hammerless,10,0.964
hammock,7,1.000
hamper,6,1.000
hampered,8,1.000
hampers,7,1.000
Hampshire,9,1.000
hams,4,1.000
hamster,7,1.000
hamstring,9,1.000
Hancock,7,0.885
hand,4,1.000
handbag,7,1.000
handball,8,1.000
handbarrow,10,0.750
handbill,8,1.000
handbook,8,1.000
handbooks,9,1.000
handbrake,9,1.000
handcart,8,0.963
handclap,8,0.926
handclasp,9,0.731
handcuff,8,1.000
handcuffs,9,1.000
handed,6,1.000
handful,7,1.000
handfuls,8,1.000
handgun,7,1.000
handguns,8,0.960
handhold,8,0.920
handicap,8,1.000
handicapped,11,1.000
handicaps,9,1.000
handicraft,10,1.000
handicrafts,11,0.964
handier,7,1.000
handiest,8,1.000
handing,7,0.960
handiwork,9,0.929
handkerchief,12,0.963
handkerchiefs,13,1.000
handle,6,1.000
handlebar,9,0.960
handlebars,10,1.000
handled,7,1.000
handler,7,1.000
handlers,8,1.000
handles,7,0.920
handless,8,0.929
handling,8,1.000
handloom,8,0.926
handmade,8,0.964
handmaid,8,1.000
handmaiden,10,0.958
handout,7,1.000
handpick,8,0.963
handrail,8,1.000
hands,5,1.000
handsaw,7,1.000
handshake,9,1.000
handsome,8,1.000
handsomely,10,1.000
handsomer,9,1.000
handsomest,10,0.808
handstand,9,1.000
handstands,10,0.962
handwriting,11,1.000
handy,5,1.000
handyman,8,1.000
handymen,8,0.889
hang,4,1.000
hangar,6,0.667
hangars,7,0.962
hanged,6,0.960
hanger,6,1.000
hangers,7,1.000
hanging,7,0.963
hangman,7,1.000
hangman's,9,0.964
hangnail,8,0.926
hangout,7,1.000
hangouts,8,1.000
hangover,8,1.000
hangovers,9,1.000
hangs,5,1.000
hangup,6,1.000
Hank,4,0.960
hankered,8,0.964
hankering,9,1.000
hanky,5,0.962
Hannah,6,1.000
Hannibal,8,1.000
Hanover,7,0.926
Hanukkah,8,0.920
haphazard,9,0.929
haphazardly,11,0.885
hapless,7,1.000
happen,6,1.000
happened,8,1.000
happening,9,1.000
happenings,10,1.000
happens,7,1.000
happenstance,12,0.926
happier,7,1.000
happiest,8,1.000
happily,7,1.000
happiness,9,1.000
happy,5,1.000
harangue,8,0.600
harangued,9,0.667
haranguing,10,0.235
harass,6,1.000
harassed,8,1.000
harassing,9,1.000
harbinger,9,0.625
harbor,6,1.000
harbored,8,1.000
harboring,9,1.000
harbors,7,1.000
harbor's,8,1.000
hard,4,1.000
hardboard,9,1.000
hardboiled,10,0.926
hardbound,9,0.962
hardcover,9,0.962
harden,6,1.000
hardened,8,0.964
harder,6,1.000
hardest,7,0.964
hardheaded,10,0.962
hardly,6,1.000
hardness,8,1.000
hard's,6,1.000
hardscrabble,12,0.792
hardshell,9,1.000
hardship,8,1.000
hardships,9,1.000
hardtack,8,0.741
hardtop,7,1.000
hardware,8,1.000
hardwood,8,0.963
hardwoods,9,1.000
hardworking,11,1.000
hardy,5,0.964
hare,4,0.963
harebrained,11,0.963
harelip,7,0.852
harelips,8,0.821
harem,5,0.889
hark,4,1.000
Harlem,6,1.000
Harlem's,8,1.000
harlequin,9,0.917
Harley's,8,1.000
harlot,6,0.840
harm,4,1.000
harmed,6,1.000
harmful,7,1.000
harmless,8,1.000
harmlessly,10,0.962
harmonic,8,0.962
harmonica,9,1.000
harmonies,9,0.926
harmonious,10,0.962
harmoniously,12,0.923
harmonization,13,0.920
harmonize,9,0.964
harmony,7,1.000
harmony's,9,0.964
harness,7,1.000
harnessed,9,0.926
harnesses,9,0.885
harnessing,10,0.926
harp,4,0.966
harper,6,1.000
harpers,7,1.000
Harper's,8,1.000
harping,7,1.000
harpist,7,0.963
harpoon,7,0.964
harpsichord,11,0.833
harpsichordist,14,0.833
harpy,5,0.962
harrassment,11,0.920
harried,7,0.893
Harriet,7,0.963
Harriet's,9,1.000
harrow,6,0.857
harrowed,8,0.679
harrowing,9,0.846
harrows,7,0.893
harry,5,1.000
Harry's,7,1.000
harsh,5,1.000
harshened,9,0.913
harsher,7,1.000
harshly,7,1.000
harshness,9,1.000
Hartford,8,1.000
Harvard,7,1.000
Harvard's,9,1.000
harvest,7,1.000
harvested,9,1.000
harvester,9,0.964
harvesting,10,1.000
harvests,8,1.000
has,3,1.000
hash,4,0.964
hashish,7,0.773
hasn't,6,1.000
hassle,6,1.000
hassock,7,0.679
hast,4,0.778
haste,5,1.000
hasten,6,0.704
hastened,8,0.889
hastening,9,0.778
hastily,7,1.000
Hastings,8,0.846
hasty,5,1.000
hat,3,1.000
hatband,7,0.926
hatch,5,1.000
hatchback,9,1.000
hatched,7,1.000
hatchery,8,1.000
hatchet,7,0.964
hatching,8,1.000
hatchway,8,1.000
hate,4,1.000
hated,5,1.000
hateful,7,1.000
hates,5,1.000
hath,4,0.960
hating,6,0.964
hatless,7,1.000
hatpin,6,1.000
hatred,6,0.926
hats,4,1.000
hatter,6,0.963
hatters,7,0.920
haughtily,9,0.885
haughtiness,11,0.929
haughty,7,0.778
haul,4,1.000
haulage,7,0.696
hauled,6,1.000
hauling,7,1.000
hauls,5,0.964
haunch,6,0.852
haunches,8,0.893
haunt,5,1.000
haunted,7,0.964
haunting,8,0.962
haunts,6,1.000
Havana,6,1.000
have,4,1.000
haven,5,0.926
havens,6,0.917
haven't,7,0.963
having,6,1.000
havoc,5,0.964
haw,3,0.893
Hawaii,6,1.000
Hawaiian,8,1.000
hawing,6,0.731
hawk,4,1.000
hawked,6,0.964
hawker,6,1.000
hawkers,7,0.964
hawks,5,1.000
hay,3,1.000
Haydn,5,0.696
Haydn's,7,0.815
Hayes,5,1.000
hayfork,7,0.963
haystack,8,0.964
haystacks,9,1.000
haywire,7,0.960
hazard,6,0.926
hazardous,9,1.000
hazards,7,1.000
haze,4,1.000
hazel,5,0.926
hazelnuts,9,0.964
hazes,5,0.964
hazy,4,0.960
he,2,1.000
head,4,1.000
headache,8,1.000
headaches,9,1.000
headband,8,0.960
headboard,9,1.000
headcheese,10,1.000
headdress,9,0.962
headed,6,1.000
header,6,1.000
headfirst,9,0.964
headgear,8,1.000
headhunter,10,1.000
heading,7,1.000
headings,8,1.000
headlamp,8,0.926
headland,8,0.960
headlands,9,0.889
headless,8,1.000
headlight,9,1.000
headlights,10,1.000
headline,8,1.000
headlines,9,0.962
headlining,10,0.885
headlong,8,1.000
headman,7,0.929
headmaster,10,1.000
headmistress,12,0.963
headphones,10,1.000
headpiece,9,1.000
headquarter,11,1.000
headquarters,12,1.000
headrest,8,1.000
headroom,8,0.963
heads,5,1.000
headset,7,1.000
headstand,9,1.000
headstands,10,0.929
headstone,9,1.000
headstones,10,1.000
headstrong,10,1.000
headwaters,10,1.000
headway,7,1.000
headwind,8,0.913
heady,5,0.769
heal,4,1.000
healed,6,1.000
healer,6,0.963
healing,7,0.929
health,6,0.926
healthful,9,1.000
healthier,9,0.962
healthiest,10,0.964
healthily,9,0.846
healthy,7,1.000
heap,4,1.000
heaped,6,1.000
heaps,5,1.000
hear,4,1.000
heard,5,0.964
hearer,6,1.000
hearers,7,1.000
hearing,7,1.000
hearings,8,1.000
hearken,7,0.741
hears,5,1.000
hearsay,7,0.889
hearse,6,0.852
heart,5,1.000
heartache,9,1.000
heartbeat,9,1.000
heartbreak,10,1.000
heartbreaking,13,1.000
heartbroken,11,1.000
heartburn,9,1.000
hearten,7,1.000
heartening,10,0.923
heartfelt,9,1.000
hearth,6,0.926
hearthrug,9,0.542
heartiest,9,0.929
heartily,8,0.852
heartless,9,1.000
heartrending,12,0.741
hearts,6,1.000
heart's,7,1.000
heartsick,9,0.808
heartstrings,12,1.000
heartthrob,10,0.964
heartwarming,12,1.000
hearty,6,0.966
heat,4,1.000
heated,6,1.000
heatedly,8,1.000
heater,6,1.000
heaters,7,1.000
heathen,7,0.963
heathendom,10,0.778
heathenish,10,0.889
heather,7,0.964
heating,7,1.000
heat's,6,1.000
heatstroke,10,0.808
heatwave,8,0.963
heave,5,1.000
heaved,6,0.958
heaven,6,1.000
heavenly,8,1.000
heavens,7,1.000
heaven's,8,1.000
heavensent,10,0.958
heavenward,10,0.893
heavenwards,11,0.960
heaves,6,1.000
heavier,7,0.963
heaviest,8,1.000
heavily,7,1.000
heaviness,9,1.000
heaving,7,1.000
heavy,5,1.000
heavyhearted,12,1.000
heavyweight,11,1.000
Hebraic,7,0.450
Hebrew,6,1.000
Hebrews,7,1.000
heck,4,1.000
heckle,6,1.000
hectare,7,0.615
hectic,6,1.000
Hector,6,1.000
Hector's,8,1.000
he'd,4,0.962
hedge,5,1.000
hedged,6,1.000
hedgehog,8,1.000
hedgerow,8,0.739
hedges,6,1.000
hedonism,8,0.700
hedonist,8,0.808
hedonistic,10,0.840
heed,4,0.962
heeded,6,1.000
heedless,8,1.000
heehaw,6,1.000
heel,4,1.000
heels,5,1.000
hefted,6,0.964
hefty,5,1.000
Heidelberg,10,0.680
heifer,6,0.615
height,6,1.000
heighten,8,1.000
heightened,10,1.000
heightening,11,1.000
heights,7,1.000
heinous,7,0.750
heir,4,0.821
heiress,7,0.667
heirloom,8,0.889
heirs,5,0.893
held,4,1.000
Helen,5,1.000
Helena,6,0.846
Helene,6,0.773
helicopter,10,1.000
heliocentric,12,0.895
heliport,8,0.963
helium,6,0.963
hell,4,1.000
he'll,5,0.960
hellcat,7,1.000
Hellene,7,0.565
Hellenic,8,0.708
hellfire,8,1.000
hellish,7,1.000
hello,5,1.000
Hell's,6,1.000
helm,4,0.963
helmet,6,1.000
helmets,7,1.000
helmsman,8,0.840
help,4,1.000
helped,6,1.000
helper,6,1.000
helpers,7,1.000
helpful,7,0.964
helpfully,9,1.000
helpfulness,11,1.000
helping,7,1.000
helpless,8,0.966
helplessly,10,1.000
helplessness,12,1.000
helpmate,8,0.821
helpmeet,8,0.846
helps,5,1.000
hem,3,0.964
hematite,8,0.778
Hemingway,9,1.000
Hemingway's,11,0.963
hemisphere,10,1.000
hemisphere's,12,1.000
hemispherical,13,0.958
hemline,7,0.962
hemlock,7,1.000
hemlocks,8,1.000
hemmed,6,0.964
hemming,7,0.964
hemoglobin,10,0.963
hemorrhage,10,1.000
hemorrhages,11,0.880
hemorrhaging,12,0.769
hemorrhoids,11,0.826
hemp,4,1.000
hemstitch,9,0.964
hen,3,1.000
hence,5,1.000
henceforth,10,0.962
henceforward,12,1.000
henchman,8,0.889
henchmen,8,1.000
henna,5,0.815
henpecked,9,0.963
Henrietta,9,0.931
Henrietta's,11,0.913
Henry,5,1.000
Henry's,7,0.955
hens,4,0.963
hen's,5,1.000
hepatitis,9,0.923
her,3,1.000
herald,6,1.000
heralded,8,0.885
heraldry,8,0.652
herb,4,1.000
herbal,6,0.964
herbalist,9,0.963
Herbert,7,1.000
herbivore,9,0.962
herbs,5,0.964
herculean,9,0.783
Hercules,8,1.000
herd,4,1.000
herded,6,0.963
herding,7,1.000
herds,5,1.000
herdsman,8,0.963
here,4,1.000
hereabout,9,0.923
hereabouts,10,0.963
hereafter,9,1.000
hereby,6,0.964
hereditary,10,0.808
heredity,8,1.000
Hereford,8,0.652
herein,6,0.583
hereinafter,11,0.905
hereof,6,0.926
here's,6,0.964
heresy,6,0.654
heretic,7,0.852
heretical,9,0.833
heretics,8,0.962
hereto,6,0.815
heretofore,10,0.722
hereunder,9,0.714
hereunto,8,0.750
hereupon,8,0.923
herewith,8,0.929
heritable,9,1.000
heritage,8,0.964
heritages,9,0.923
Herman,6,1.000
Herman's,8,1.000
hermaphrodite,13,0.818
hermetic,8,0.840
hermit,6,1.000
hermitage,9,0.870
hernia,6,0.964
hero,4,1.000
Herod,5,0.870
heroes,6,1.000
heroic,6,1.000
heroically,10,0.769
heroics,7,0.960
heroin,6,1.000
heroine,7,1.000
heroism,7,0.923
heron,5,0.875
herons,6,0.800
hero's,6,0.964
herpes,6,0.964
herpetologist,13,0.769
herpetologists,14,0.750
herpetology,11,0.789
herring,7,0.920
herringbone,11,0.840
hers,4,1.000
herself,7,1.000
Hershey's,9,1.000
hertz,5,1.000
he's,4,1.000
hesitance,9,0.923
hesitancy,9,0.917
hesitant,8,1.000
hesitate,8,0.962
hesitated,9,1.000
hesitates,9,1.000
hesitating,10,0.962
hesitatingly,12,0.846
hesitation,10,1.000
Hesse,5,0.542
Hessian,7,0.565
Hessians,8,0.577
heterodox,9,0.435
heterogeneity,13,0.545
heterogeneous,13,0.960
heterosexual,12,1.000
heterosexuality,15,1.000
heterozygous,12,0.762
heuristic,9,0.826
hew,3,0.852
hex,3,1.000
hexagon,7,1.000
hexagonal,9,0.958
hexagram,8,1.000
hexameter,9,0.808
hey,3,1.000
heyday,6,1.000
hi,2,1.000
hiatus,6,0.889
Hiawatha,8,0.708
hibachi,7,0.923
hibernate,9,1.000
hibernation,11,1.000
hibiscus,8,0.667
hiccup,6,0.964
hiccups,7,1.000
hick,4,1.000
hickory,7,1.000
hicks,5,1.000
hid,3,1.000
hidden,6,1.000
hide,4,1.000
hideaway,8,1.000
hideous,7,1.000
hideously,9,1.000
hideout,7,0.964
hides,5,1.000
hiding,6,1.000
hierarchical,12,0.750
hierarchies,11,0.963
hierarchy,9,0.962
hieroglyph,10,0.667
hieroglyphic,12,0.857
hifalutin,9,0.357
high,4,1.000
highball,8,1.000
highboard,9,1.000
highborn,8,1.000
highbrow,8,1.000
higher,6,1.000
highest,7,1.000
highfalutin,11,0.600
highland,8,1.000
Highlander,10,1.000
highlands,9,1.000
highlight,9,1.000
highlighting,12,1.000
highlights,10,1.000
highly,6,1.000
highness,8,0.929
highroad,8,1.000
highs,5,1.000
highschool,10,1.000
highway,7,1.000
highwayman,10,1.000
highways,8,1.000
hijack,6,1.000
hijacked,8,1.000
hijackers,9,1.000
hijacking,9,1.000
hike,4,1.000
hiked,5,0.963
hiker,5,1.000
hikes,5,1.000
hiking,6,1.000
hilarious,9,1.000
hilariously,11,1.000
hilarity,8,0.929
hill,4,1.000
Hillary,7,0.920
hillbilly,9,0.923
hills,5,1.000
hillside,8,1.000
hilltops,8,1.000
hilly,5,1.000
hilt,4,1.000
him,3,1.000
Himalayas,9,0.920
himself,7,0.960
Hinckley,8,0.762
hind,4,0.929
hinder,6,0.964
hindered,8,1.000
hindering,9,1.000
hinders,7,1.000
Hindi,5,0.963
hindmost,8,0.720
hindquarters,12,0.852
hindrance,9,1.000
hindrances,10,0.815
hindsight,9,0.962
Hindu,5,1.000
Hinduism,8,1.000
Hindus,6,0.714
hinge,5,1.000
hinged,6,1.000
hinges,6,1.000
hint,4,1.000
hinted,6,1.000
hinterland,10,0.682
hinterlands,11,0.760
hinting,7,1.000
hints,5,1.000
hip,3,1.000
hipline,7,0.964
hippie,6,1.000
hippo,5,1.000
Hippocrates,11,0.667
hippodrome,10,0.760
